token,transcription,pos,morphology,alt_transcription_1,alt_transcription_2,alt_transcription_3,update_info,freq,lemma,comment,number_of_years
bacheloren,B AEH1 T SJ AX0 L AX0 RNX0,NN,SIN|DEF|NOM|MAS,B AEH1 T SJ L AX0 RNX0,,,Målfrid,905,bachelor,,
bachelorgradsnivå,B AEH1 T SJ AX0 L AX0 R G R AA0 D S N IH0 V OA3,NN,SIN-PLU|IND|NOM|NEU,B AEH1 T SJ L AX0 R G R AA0 D S N IH0 V OA3,,,Målfrid,950,bachelorgradsnivå,,
bacheloroppgave,B AEH1 T SJ AX0 L AX0 R OAH0 P G AA3 V AX0,NN,SIN|IND|NOM|MAS-FEM,B AEH1 T SJ L AX0 R OAH0 P G AA3 V AX0,,,Målfrid,4084,bacheloroppgave,,
bacheloroppgaven,B AEH1 T SJ AX0 L AX0 R OAH0 P G AA3 V AX0 N,NN,SIN|DEF|NOM|MAS,B AEH1 T SJ L AX0 R OAH0 P G AA3 V AX0 N,,,Målfrid,6564,bacheloroppgave,,
bacheloroppgaver,B AEH1 T SJ AX0 L AX0 R OAH0 P G AA3 V AX0 R,NN,PLU|IND|NOM|MAS-FEM,B AEH1 T SJ L AX0 R OAH0 P G AA3 V AX0 R,,,Målfrid,1355,bacheloroppgave,,
bachelorprogram,B AEH1 T SJ AX0 L AX0 R P R OH0 G R AH3 M,NN,SIN-PLU|IND|NOM|NEU,B AEH1 T SJ L AX0 R P R OH0 G R AH3 M,,,Målfrid,1813,bachelorprogram,,
bachelorprogrammene,B AEH1 T SJ AX0 L AX0 R P R OH0 G R AH3 M AX0 N AX0,NN,PLU|DEF|NOM|NEU,B AEH1 T SJ L AX0 R P R OH0 G R AH3 M AX0 N AX0,,,Målfrid,2609,bachelorprogramme,,
bachelorprogrammer,B AEH1 T SJ AX0 L AX0 R P R OH0 G R AH3 M AX0 R,NN,PLU|IND|NOM|NEU,B AEH1 T SJ L AX0 R P R OH0 G R AH3 M AX0 R,,,Målfrid,1367,bachelorprogramme,,
bachelorprogrammet,B AEH1 T SJ AX0 L AX0 R P R OH0 G R AH3 M AX0,NN,SIN|DEF|NOM|NEU,B AEH1 T SJ L AX0 R P R OH0 G R AH3 M AX0,,,Målfrid,8926,bachelorprogramm,,
bachelorstudentene,B AEH1 T SJ AX0 L AX0 R S T UH0 D EH3 N T NX0 AX0,NN,PLU|DEF|NOM|MAS,B AEH1 T SJ L AX0 R S T UH0 D EH3 N T NX0 AX0,,,Målfrid,1725,bachelorstudente,,
bachelorstudenter,B AEH1 T SJ AX0 L AX0 R S T UH0 D EH3 N T AX0 R,NN,PLU|IND|NOM|MAS,B AEH1 T SJ L AX0 R S T UH0 D EH3 N T AX0 R,,,Målfrid,2628,bachelorstudente,,
bachelorstudiene,B AEH1 T SJ AX0 L AX0 R S T UU3 D IH0 AX0 N AX0,NN,PLU|DEF|NOM|NEU,B AEH1 T SJ L AX0 R S T UU3 D IH0 AX0 N AX0,,,Målfrid,1072,bachelorstudie,,
bachelorstudier,B AEH1 T SJ AX0 L AX0 R S T UU3 D IH0 AX0 R,NN,PLU|IND|NOM|NEU,B AEH1 T SJ L AX0 R S T UU3 D IH0 AX0 R,,,Målfrid,1701,bachelorstudie,,
bachelorstudium,B AEH1 T SJ AX0 L AX0 R S T UU3 D IH0 UH0 M,NN,SIN|IND|NOM|NEU,B AEH1 T SJ L AX0 R S T UU3 D IH0 UH0 M,,,Målfrid,2485,bachelorstudium,,
bachelorutdanning,B AEH1 T SJ AX0 L AX0 R UU0 T D AH3 N IH0 NG,NN,SIN|IND|NOM|MAS-FEM,B AEH1 T SJ L AX0 R UU0 T D AH3 N IH0 NG,,,Målfrid,2359,bachelorutdanning,,
bachelorutdanningen,B AEH1 T SJ AX0 L AX0 R UU0 T D AH3 N IH0 NG AX0 N,NN,SIN|DEF|NOM|MAS,B AEH1 T SJ L AX0 R UU0 T D AH3 N IH0 NG AX0 N,,,Målfrid,2153,bachelorutdanninge,,
bachelorutdanningene,B AEH1 T SJ AX0 L AX0 R UU0 T D AH3 N IH0 NG AX0 N AX0,NN,PLU|DEF|NOM|MAS-FEM,B AEH1 T SJ L AX0 R UU0 T D AH3 N IH0 NG AX0 N AX0,,,Målfrid,838,bachelorutdanninge,,
bachelorutdanninger,B AEH1 T SJ AX0 L AX0 R UU0 T D AH3 N IH0 NG AX0 R,NN,PLU|IND|NOM|MAS-FEM,B AEH1 T SJ L AX0 R UU0 T D AH3 N IH0 NG AX0 R,,,Målfrid,1230,bachelorutdanninge,,
bakgrunnsdata,B AA2 K G R UH0 N S D AA3 T AH0,NN,SIN-PLU|IND|NOM|NEU,,,,Målfrid,1419,bakgrunnsdate,,
bakgrunnskjennetegn,B AA2 K G R UH0 N S KJ AX0 N AX0 T AEJ3 N,NN,SIN-PLU|IND|NOM|NEU,,,,Målfrid,1141,bakgrunnskjennetegn,,
bakgrunnsnivå,B AA2 K G R UH0 N S N IH0 V OA3,NN,SIN-PLU|IND|NOM|NEU,,,,Målfrid,2013,bakgrunnsnivå,,
bakgrunnsretten,B AA2 K G R UH0 N S R EH3 T NX0,NN,SIN|DEF|NOM|MAS,,,,Målfrid,1034,bakgrunnsrette,,
bakgrunnsspørsmål,B AA2 K G R UH0 N S S P OEH3 SJ M OA0 L,NN,SIN-PLU|IND|NOM|NEU,,,,Målfrid,3219,bakgrunnsspørsmål,,
bakgrunnsvariablene,B AA2 K G R UH0 N S V AH0 R IH0 AA3 B L AX0 N AX0,NN,PLU|DEF|NOM|MAS,B AA2 K G R UH0 N S V AH0 R IH0 AA1 B L NX0 AX0,,,Målfrid,1062,bakgrunnsvariable,,
bakgrunnsvariabler,B AA2 K G R UH0 N S V AH0 R IH0 AA3 B L AX0 R,NN,PLU|IND|NOM|MAS,,,,Målfrid,4477,bakgrunnsvariable,,
bakkebasert,B AH2 K AX0 B AH0 S EE3 RT,JJ,SIN|IND|NOM|NEU-MAS-FEM|POS,,,,Målfrid,809,bakkebasert,,
bakkemyrer,B AH2 K AX0 M YY3 R AX0 R,NN,PLU|IND|NOM|MAS-FEM,,,,Målfrid,883,bakkemyre,,
bakkemålinger,B AH2 K AX0 M OA3 L IH0 NG AX0 R,NN,PLU|IND|NOM|MAS-FEM,,,,Målfrid,850,bakkemålinge,,
bakkesøte,B AH2 K AX0 S OE3 T AX0,NN,SIN|IND|NOM|MAS-FEM,,,,Målfrid,1322,bakkesøte,,
balanseføres,B AH0 L AH1 N S AX0 F OE3 R AX0 S,VB,PAS|INF-PRS,B AH0 L AH1 NG S AX0 F OE3 R AX0 S,,,Målfrid,2258,balanseføre,,
